,account_value,date
0,10000000.0,2022-03-04
1,9644111.64,2022-03-07
2,9455490.55,2022-03-08
3,9620700.355,2022-03-10
4,9741750.355,2022-03-11
5,9713818.57,2022-03-14
6,9757724.18,2022-03-15
7,9911624.18,2022-03-16
8,10087363.35,2022-03-17
9,10365459.35,2022-03-18
10,10390859.35,2022-03-21
11,10447959.35,2022-03-22
12,10586020.9,2022-03-23
13,10843608.92,2022-03-24
14,10796558.92,2022-03-25
15,10792908.92,2022-03-28
16,10721758.92,2022-03-29
17,10731858.92,2022-03-30
18,10865180.465,2022-03-31
19,10671381.915,2022-04-01
20,10676151.85,2022-04-04
21,10778862.25,2022-04-05
22,10555862.25,2022-04-06
23,10346117.95,2022-04-07
24,10426067.95,2022-04-08
25,10236217.95,2022-04-11
26,10146367.95,2022-04-12
27,10371017.95,2022-04-13
28,10337967.95,2022-04-14
29,10243967.95,2022-04-15
30,10170067.95,2022-04-18
31,10258867.95,2022-04-19
32,10265917.95,2022-04-20
33,10337567.95,2022-04-21
34,10123717.95,2022-04-22
35,9963317.95,2022-04-25
36,9898167.95,2022-04-26
37,9721367.95,2022-04-27
38,10178117.95,2022-04-28
39,10354117.95,2022-04-29
40,10433067.95,2022-05-02
41,10329117.95,2022-05-03
42,10338117.95,2022-05-04
43,10380017.95,2022-05-06
44,10051667.95,2022-05-09
45,10026667.95,2022-05-10
46,10165867.95,2022-05-11
47,9688367.95,2022-05-12
48,10056917.95,2022-05-13
49,10009967.95,2022-05-16
50,10058717.95,2022-05-17
51,10091867.95,2022-05-18
52,9857367.95,2022-05-19
53,10419867.95,2022-05-20
54,10426767.95,2022-05-23
55,10313017.95,2022-05-24
56,10326767.95,2022-05-25
57,10329717.95,2022-05-26
58,10521617.95,2022-05-27
59,10684267.95,2022-05-30
60,11082817.95,2022-05-31
61,10969667.95,2022-06-02
62,11145567.95,2022-06-03
63,11017917.95,2022-06-07
64,11479117.95,2022-06-08
65,12024317.95,2022-06-09
66,11947367.95,2022-06-10
67,11560017.95,2022-06-13
68,11632017.95,2022-06-14
69,11055717.95,2022-06-15
70,11181117.95,2022-06-16
71,11132067.95,2022-06-17
72,11094167.95,2022-06-20
73,11120317.95,2022-06-21
74,10705317.95,2022-06-22
75,10461167.95,2022-06-23
76,10513467.95,2022-06-24
77,10799267.95,2022-06-27
78,11360667.95,2022-06-28
79,10958067.95,2022-06-29
80,10734367.95,2022-06-30
81,10720649.250000002,2022-07-01
82,10093098.295000002,2022-07-04
83,10256337.335,2022-07-05
84,9870040.325,2022-07-06
85,10007617.365,2022-07-07
86,10135117.365,2022-07-08
87,9935882.65,2022-07-11
88,9583832.65,2022-07-12
89,9614782.65,2022-07-13
90,9735968.15,2022-07-14
91,10021375.6,2022-07-15
92,10407594.420000002,2022-07-18
93,10683194.420000002,2022-07-19
94,10433194.420000002,2022-07-20
95,10562294.420000002,2022-07-21
96,12711404.865000002,2022-07-22
97,12682559.185000002,2022-07-25
98,12678460.390000002,2022-07-26
99,12706182.645000003,2022-07-27
100,12630831.445000004,2022-07-28
101,12821374.060000002,2022-07-29
102,12605639.735000003,2022-08-01
103,12489292.390000004,2022-08-02
104,12471492.390000004,2022-08-03
105,12375286.475000003,2022-08-04
106,12598381.670000004,2022-08-05
107,12702181.120000005,2022-08-08
108,12455808.420000004,2022-08-09
109,12144198.710000005,2022-08-10
110,12337948.710000005,2022-08-11
111,12354924.330000004,2022-08-12
112,12652250.760000004,2022-08-16
113,12717793.780000005,2022-08-17
114,12581555.730000004,2022-08-18
115,12689755.730000004,2022-08-19
116,12596718.570000004,2022-08-22
117,12533518.570000004,2022-08-23
118,12839553.010000004,2022-08-24
119,12909297.910000004,2022-08-25
120,12958897.910000004,2022-08-26
121,12646484.000000004,2022-08-29
122,12790684.000000004,2022-08-30
123,13222684.000000004,2022-08-31
124,13025884.000000004,2022-09-01
125,12761684.000000004,2022-09-02
126,12878084.000000004,2022-09-05
127,12942284.000000004,2022-09-06
128,13013884.000000004,2022-09-07
129,13433884.000000004,2022-09-08
130,13880284.000000004,2022-09-13
131,13829484.000000004,2022-09-14
132,13723484.000000004,2022-09-15
133,13258684.000000004,2022-09-16
134,13251484.000000004,2022-09-19
135,13139484.000000004,2022-09-20
136,13039484.000000004,2022-09-21
137,13047484.000000004,2022-09-22
138,12592484.000000004,2022-09-23
139,11926484.000000004,2022-09-26
140,11883484.000000004,2022-09-27
141,11418684.000000004,2022-09-28
142,11436284.000000004,2022-09-29
143,11230084.000000004,2022-09-30
144,11628684.000000004,2022-10-04
145,11750284.000000004,2022-10-05
146,12210884.000000004,2022-10-06
147,12338684.000000004,2022-10-07
148,12492684.000000004,2022-10-11
149,12395484.000000004,2022-10-12
150,12050413.175000004,2022-10-13
151,12019163.175000004,2022-10-14
152,12050413.175000004,2022-10-17
153,12781663.175000004,2022-10-18
154,12414163.175000004,2022-10-19
155,11930413.175000004,2022-10-20
156,11902913.175000004,2022-10-21
157,12045413.175000004,2022-10-24
158,11557913.175000004,2022-10-25
159,11754163.175000004,2022-10-26
